iso3,country,region,year,married_before_18
NPL,Nepal,Central and Southern Asia,2006,51.4
NPL,Nepal,Central and Southern Asia,2011,40.7
NPL,Nepal,Central and Southern Asia,2016,39.5
NPL,Nepal,Central and Southern Asia,2022,34.9
NIC,Nicaragua,Europe and Northern America,1998,50.3
NIC,Nicaragua,Europe and Northern America,2001,43.3
NIC,Nicaragua,Europe and Northern America,2012,35.2
NER,Niger,Sub-Saharan Africa,1992,83.5
NER,Niger,Sub-Saharan Africa,1998,76.6
NER,Niger,Sub-Saharan Africa,2006,74.5
NER,Niger,Sub-Saharan Africa,2012,76.3
NGA,Nigeria,Sub-Saharan Africa,1990,51.9
NGA,Nigeria,Sub-Saharan Africa,2003,43.3
NGA,Nigeria,Sub-Saharan Africa,2008,39.4
NGA,Nigeria,Sub-Saharan Africa,2013,42.8
NGA,Nigeria,Sub-Saharan Africa,2018,43.4
NGA,Nigeria,Sub-Saharan Africa,2021,30.3
PRK,North Korea,Central and Southern Asia,2017,0.1
MKD,North Macedonia,Europe and Northern America,2019,7.5
NOR,Norway,Europe and Northern America,2022,0.0
OMN,Oman,Central and Southern Asia,2014,4.0
PAK,Pakistan,Central and Southern Asia,1991,31.6
PAK,Pakistan,Central and Southern Asia,2007,24.0
PAK,Pakistan,Central and Southern Asia,2013,21.0
PAK,Pakistan,Central and Southern Asia,2018,18.3
PSE,Palestine,Central and Southern Asia,2020,13.4
PAN,Panama,Europe and Northern America,2013,26.4
PNG,Papua New Guinea,Oceania,2018,27.3
PRY,Paraguay,Latin America and the Caribbean,1990,24.2
PRY,Paraguay,Latin America and the Caribbean,2016,21.6
PER,Peru,Latin America and the Caribbean,1986,19.9
PER,Peru,Latin America and the Caribbean,1992,17.7
PER,Peru,Latin America and the Caribbean,1996,21.3
PER,Peru,Latin America and the Caribbean,2000,18.7
PER,Peru,Latin America and the Caribbean,2006,17.5
PER,Peru,Latin America and the Caribbean,2008,17.5
PER,Peru,Latin America and the Caribbean,2009,19.0
PER,Peru,Latin America and the Caribbean,2010,20.1
PER,Peru,Latin America and the Caribbean,2011,18.8
PER,Peru,Latin America and the Caribbean,2012,19.1
PER,Peru,Latin America and the Caribbean,2020,14.1
PHL,Philippines,Central and Southern Asia,1993,14.2
PHL,Philippines,Central and Southern Asia,1998,14.6
PHL,Philippines,Central and Southern Asia,2003,14.0
PHL,Philippines,Central and Southern Asia,2008,14.2
PHL,Philippines,Central and Southern Asia,2013,15.0
PHL,Philippines,Central and Southern Asia,2017,16.5
PHL,Philippines,Central and Southern Asia,2022,9.4
QAT,Qatar,Central and Southern Asia,2012,4.2
ROU,Romania,Europe and Northern America,2021,6.9
RUS,Russia,Central and Southern Asia,2017,6.2
RWA,Rwanda,Sub-Saharan Africa,1992,14.8
RWA,Rwanda,Sub-Saharan Africa,2000,19.5
RWA,Rwanda,Sub-Saharan Africa,2005,13.3
RWA,Rwanda,Sub-Saharan Africa,2010,8.1
RWA,Rwanda,Sub-Saharan Africa,2015,6.8
RWA,Rwanda,Sub-Saharan Africa,2020,5.5
LCA,Saint Lucia,Europe and Northern America,2012,24.0
WSM,Samoa,Oceania,2020,7.4
STP,Sao Tome and Principe,Sub-Saharan Africa,2009,34.4
STP,Sao Tome and Principe,Sub-Saharan Africa,2019,28.0
SEN,Senegal,Sub-Saharan Africa,1986,58.8
SEN,Senegal,Sub-Saharan Africa,1993,47.7
SEN,Senegal,Sub-Saharan Africa,1997,36.1
SEN,Senegal,Sub-Saharan Africa,2005,39.0
SEN,Senegal,Sub-Saharan Africa,2011,32.9
SEN,Senegal,Sub-Saharan Africa,2013,29.8
SEN,Senegal,Sub-Saharan Africa,2014,32.3
SEN,Senegal,Sub-Saharan Africa,2015,31.0
SEN,Senegal,Sub-Saharan Africa,2016,31.5
SEN,Senegal,Sub-Saharan Africa,2017,28.8
SEN,Senegal,Sub-Saharan Africa,2018,25.5
SEN,Senegal,Sub-Saharan Africa,2019,30.5
SRB,Serbia,Europe and Northern America,2019,5.5
SLE,Sierra Leone,Sub-Saharan Africa,2008,47.9
SLE,Sierra Leone,Sub-Saharan Africa,2013,38.9
SLE,Sierra Leone,Sub-Saharan Africa,2019,29.6
SGP,Singapore,Central and Southern Asia,2023,0.1
SLB,Solomon Islands,Oceania,2015,21.3
SOM,Somalia,Sub-Saharan Africa,2006,45.3
ZAF,South Africa,Sub-Saharan Africa,1998,7.9
