dataset,missing_type,code,country
out_of_school_children.csv,incomplete,MAR,Morocco
out_of_school_children.csv,incomplete,MOZ,Mozambique
out_of_school_children.csv,incomplete,NAM,Namibia
out_of_school_children.csv,incomplete,NLD,Netherlands
out_of_school_children.csv,incomplete,NER,Niger
out_of_school_children.csv,incomplete,NGA,Nigeria
out_of_school_children.csv,incomplete,MKD,North Macedonia
out_of_school_children.csv,incomplete,POL,Poland
out_of_school_children.csv,incomplete,ROU,Romania
out_of_school_children.csv,incomplete,RWA,Rwanda
out_of_school_children.csv,incomplete,SMR,San Marino
out_of_school_children.csv,incomplete,STP,Sao Tome and Principe
out_of_school_children.csv,incomplete,SEN,Senegal
out_of_school_children.csv,incomplete,SRB,Serbia
out_of_school_children.csv,incomplete,SYC,Seychelles
out_of_school_children.csv,incomplete,SLE,Sierra Leone
out_of_school_children.csv,incomplete,SVK,Slovakia
out_of_school_children.csv,incomplete,ZAF,South Africa
out_of_school_children.csv,incomplete,SSD,South Sudan
out_of_school_children.csv,incomplete,SDN,Sudan
out_of_school_children.csv,incomplete,CHE,Switzerland
out_of_school_children.csv,incomplete,TZA,Tanzania
out_of_school_children.csv,incomplete,TGO,Togo
out_of_school_children.csv,incomplete,TUN,Tunisia
out_of_school_children.csv,incomplete,UGA,Uganda
out_of_school_children.csv,incomplete,UKR,Ukraine
out_of_school_children.csv,incomplete,ZMB,Zambia
out_of_school_children.csv,incomplete,ZWE,Zimbabwe
youth_literacy.csv,incomplete,ALB,Albania
youth_literacy.csv,incomplete,DZA,Algeria
youth_literacy.csv,incomplete,AGO,Angola
youth_literacy.csv,incomplete,BLR,Belarus
youth_literacy.csv,incomplete,BEN,Benin
youth_literacy.csv,incomplete,BIH,Bosnia and Herzegovina
youth_literacy.csv,incomplete,BWA,Botswana
youth_literacy.csv,incomplete,BGR,Bulgaria
youth_literacy.csv,incomplete,BFA,Burkina Faso
youth_literacy.csv,incomplete,BDI,Burundi
youth_literacy.csv,incomplete,CMR,Cameroon
youth_literacy.csv,incomplete,CPV,Cape Verde
youth_literacy.csv,incomplete,CAF,Central African Republic
youth_literacy.csv,incomplete,TCD,Chad
youth_literacy.csv,incomplete,COM,Comoros
youth_literacy.csv,incomplete,COG,Congo
youth_literacy.csv,incomplete,CIV,Cote d'Ivoire
youth_literacy.csv,incomplete,HRV,Croatia
youth_literacy.csv,incomplete,COD,DR Congo
youth_literacy.csv,incomplete,EGY,Egypt
youth_literacy.csv,incomplete,GNQ,Equatorial Guinea
youth_literacy.csv,incomplete,ERI,Eritrea
