code,country,continent,year,value
EGY,Egypt,Africa,2021,15.8
ERI,Eritrea,Africa,2002,47.0
ERI,Eritrea,Africa,2010,40.7
ETH,Ethiopia,Africa,2000,49.1
ETH,Ethiopia,Africa,2005,49.2
ETH,Ethiopia,Africa,2011,41.2
ETH,Ethiopia,Africa,2016,40.3
FIN,Finland,Europe,2017,0.1
FJI,Fiji,Oceania,2021,4.0
GAB,Gabon,Africa,2000,33.6
GAB,Gabon,Africa,2012,21.9
GAB,Gabon,Africa,2021,13.3
GBR,United Kingdom,Europe,2021,0.0
GEO,Georgia,Asia,2018,13.9
GHA,Ghana,Africa,2003,27.9
GHA,Ghana,Africa,2008,24.6
GHA,Ghana,Africa,2014,20.7
GHA,Ghana,Africa,2022,16.1
GIN,Guinea,Africa,2005,63.1
GIN,Guinea,Africa,2012,51.7
GIN,Guinea,Africa,2018,46.5
GMB,Gambia,Africa,2013,30.4
GMB,Gambia,Africa,2020,23.1
GNB,Guinea-Bissau,Africa,2019,25.7
GNQ,Equatorial Guinea,Africa,2011,29.5
GTM,Guatemala,North America,2015,29.5
GUY,Guyana,South America,2005,28.2
GUY,Guyana,South America,2009,23.0
GUY,Guyana,South America,2020,32.3
HND,Honduras,North America,2006,38.8
HND,Honduras,North America,2012,33.6
HND,Honduras,North America,2019,34.0
HTI,Haiti,North America,2000,24.1
HTI,Haiti,North America,2006,29.9
HTI,Haiti,North America,2012,17.5
HTI,Haiti,North America,2017,14.9
IDN,Indonesia,Asia,2003,24.2
IDN,Indonesia,Asia,2007,22.0
IDN,Indonesia,Asia,2012,17.0
IDN,Indonesia,Asia,2017,16.3
IND,India,Asia,2006,44.5
IND,India,Asia,2016,25.3
IND,India,Asia,2021,22.3
IRN,Iran,Asia,2010,16.7
IRQ,Iraq,Asia,2018,27.9
JAM,Jamaica,North America,2011,7.9
JOR,Jordan,Asia,2002,11.1
JOR,Jordan,Asia,2007,9.6
JOR,Jordan,Asia,2009,10.2
JOR,Jordan,Asia,2012,8.4
JOR,Jordan,Asia,2018,9.7
KAZ,Kazakhstan,Asia,2015,7.0
KEN,Kenya,Africa,2003,24.6
KEN,Kenya,Africa,2009,26.4
KEN,Kenya,Africa,2014,22.9
KEN,Kenya,Africa,2022,12.5
KGZ,Kyrgyz Republic,Asia,2012,7.8
KGZ,Kyrgyz Republic,Asia,2018,12.9
KHM,Cambodia,Asia,2000,24.8
KHM,Cambodia,Asia,2005,23.3
KHM,Cambodia,Asia,2010,18.4
KHM,Cambodia,Asia,2014,18.5
KHM,Cambodia,Asia,2022,17.9
KIR,Kiribati,Oceania,2019,18.4
LAO,Laos,Asia,2017,32.7
LBN,Lebanon,Asia,2016,6.0
LBR,Liberia,Africa,2007,37.9
LBR,Liberia,Africa,2013,35.9
LBR,Liberia,Africa,2020,24.9
LCA,Saint Lucia,North America,2012,24.0
LKA,Sri Lanka,Asia,2016,9.8
LSO,Lesotho,Africa,2004,23.0
LSO,Lesotho,Africa,2009,18.8
LSO,Lesotho,Africa,2014,17.3
LSO,Lesotho,Africa,2018,16.4
LTU,Lithuania,Europe,2022,0.2
MAR,Morocco,Africa,2004,15.9
MAR,Morocco,Africa,2018,13.7
MDA,Moldova,Europe,2005,18.9
MDA,Moldova,Europe,2012,12.2
MDG,Madagascar,Africa,2004,38.8
MDG,Madagascar,Africa,2009,48.2
MDG,Madagascar,Africa,2021,38.8
MDV,Maldives,Asia,2009,3.9
MDV,Maldives,Asia,2017,2.2
MEX,Mexico,North America,2018,20.7
MHL,Marshall Islands,Oceania,2007,26.3
MKD,North Macedonia,Europe,2019,7.5
MLI,Mali,Africa,2001,65.4
MLI,Mali,Africa,2006,70.6
MLI,Mali,Africa,2013,59.6
MLI,Mali,Africa,2018,53.7
MMR,Myanmar,Asia,2016,16.0
MNE,Montenegro,Europe,2018,5.8
MNG,Mongolia,Asia,2018,12.0
MOZ,Mozambique,Africa,2003,55.9
MOZ,Mozambique,Africa,2009,56.2
MOZ,Mozambique,Africa,2011,48.2
MOZ,Mozambique,Africa,2015,52.9
MOZ,Mozambique,Africa,2023,48.4
MRT,Mauritania,Africa,2001,37.2
MRT,Mauritania,Africa,2021,36.6
MWI,Malawi,Africa,2000,46.9
MWI,Malawi,Africa,2004,48.9
MWI,Malawi,Africa,2010,49.6
MWI,Malawi,Africa,2016,42.1
MWI,Malawi,Africa,2020,37.7
NAM,Namibia,Africa,2000,9.8
NAM,Namibia,Africa,2007,8.5
NAM,Namibia,Africa,2013,6.9
NER,Niger,Africa,2006,74.5
NER,Niger,Africa,2012,76.3
NGA,Nigeria,Africa,2003,43.3
NGA,Nigeria,Africa,2008,39.4
NGA,Nigeria,Africa,2013,42.8
NGA,Nigeria,Africa,2018,43.4
NGA,Nigeria,Africa,2021,30.3
NIC,Nicaragua,North America,2001,43.3
NIC,Nicaragua,North America,2012,35.2
NOR,Norway,Europe,2022,0.0
NPL,Nepal,Asia,2001,56.1
NPL,Nepal,Asia,2006,51.4
NPL,Nepal,Asia,2011,40.7
NPL,Nepal,Asia,2016,39.5
NPL,Nepal,Asia,2022,34.9
NRU,Nauru,Oceania,2007,26.8
OMN,Oman,Asia,2014,4.0
PAK,Pakistan,Asia,2007,24.0
PAK,Pakistan,Asia,2013,21.0
PAK,Pakistan,Asia,2018,18.3
PAN,Panama,North America,2013,26.4
PER,Peru,South America,2000,18.7
PER,Peru,South America,2006,17.5
PER,Peru,South America,2008,17.5
PER,Peru,South America,2009,19.0
PER,Peru,South America,2010,20.1
PER,Peru,South America,2011,18.8
PER,Peru,South America,2012,19.1
PER,Peru,South America,2020,14.1
