iso3,country,continent,year,total,female,male
NOR,Norway,Europe,2024,80.9,,
NPL,Nepal,Asia,2024,50.4,,
NRU,Nauru,Oceania,2024,82.1,,
PAK,Pakistan,Asia,2024,26.2,,
PAN,Panama,North America,2024,63.9,,
PER,Peru,South America,2024,86.2,,
PHL,Philippines,Asia,2024,72.6,,
PNG,Papua New Guinea,Oceania,2024,15.1,,
POL,Poland,Europe,2024,91.5,,
PRT,Portugal,Europe,2024,82.3,,
PRY,Paraguay,South America,2024,67.7,,
PSE,Palestine,Asia,2024,83.9,,
QAT,Qatar,Asia,2024,86.3,,
ROU,Romania,Europe,2024,81.4,,
RUS,Russia,Asia,2024,91.4,,
RWA,Rwanda,Africa,2024,21.8,,
SDN,Sudan,Africa,2024,33.9,,
SEN,Senegal,Africa,2024,14.6,,
SLE,Sierra Leone,Africa,2024,14.1,,
SLV,El Salvador,North America,2024,35.3,,
SOM,Somalia,Africa,2024,8.6,,
SRB,Serbia,Europe,2024,82.0,,
SSD,South Sudan,Africa,2024,2.0,,
STP,Sao Tome and Principe,Africa,2024,54.3,,
SUR,Suriname,South America,2024,32.8,,
SVK,Slovakia,Europe,2024,93.2,,
SVN,Slovenia,Europe,2024,92.9,,
SWE,Sweden,Europe,2024,89.1,,
SWZ,Eswatini,Africa,2024,56.0,,
SYR,Syria,Asia,2024,36.6,,
TCD,Chad,Africa,2024,6.4,,
TGO,Togo,Africa,2024,22.0,,
THA,Thailand,Asia,2024,71.2,,
TJK,Tajikistan,Asia,2024,79.1,,
TKM,Turkmenistan,Asia,2024,94.5,,
TLS,East Timor,Asia,2024,55.6,,
TON,Tonga,Oceania,2024,86.9,,
TTO,Trinidad and Tobago,North America,2024,84.6,,
TUN,Tunisia,Africa,2024,59.3,,
TUR,Turkey,Asia,2024,71.4,,
TUV,Tuvalu,Oceania,2024,55.2,,
TZA,Tanzania,Africa,2024,10.9,,
UGA,Uganda,Africa,2024,17.2,,
UKR,Ukraine,Europe,2024,97.1,,
URY,Uruguay,South America,2024,43.7,,
USA,United States,North America,2024,93.2,,
UZB,Uzbekistan,Asia,2024,98.8,,
VEN,Venezuela,South America,2024,44.9,,
VNM,Vietnam,Asia,2024,53.3,,
VUT,Vanuatu,Oceania,2024,11.3,,
WSM,Samoa,Oceania,2024,59.6,,
YEM,Yemen,Asia,2024,39.0,,
ZAF,South Africa,Africa,2024,50.9,,
ZMB,Zambia,Africa,2024,29.8,,
ZWE,Zimbabwe,Africa,2024,8.0,,
