iso3,country,continent,region,year,married_before_18,married_before_15,children_before_18
MOZ,Mozambique,Africa,Sub-Saharan Africa,2023,48.4,,
MRT,Mauritania,Africa,Sub-Saharan Africa,2021,36.6,,
MWI,Malawi,Africa,Sub-Saharan Africa,2020,37.7,,
NAM,Namibia,Africa,Sub-Saharan Africa,2013,6.9,,
NER,Niger,Africa,Sub-Saharan Africa,2012,76.3,,
NGA,Nigeria,Africa,Sub-Saharan Africa,2021,30.3,,
NIC,Nicaragua,North America,Europe and Northern America,2012,35.2,,
NOR,Norway,Europe,Europe and Northern America,2022,0.0,,
NPL,Nepal,Asia,Central and Southern Asia,2022,34.9,,
NRU,Nauru,Oceania,Oceania,2007,26.8,,
OMN,Oman,Asia,Central and Southern Asia,2014,4.0,,
PAK,Pakistan,Asia,Central and Southern Asia,2018,18.3,,
PAN,Panama,North America,Europe and Northern America,2013,26.4,,
PER,Peru,South America,Latin America and the Caribbean,2020,14.1,,
PHL,Philippines,Asia,Central and Southern Asia,2022,9.4,,
PNG,Papua New Guinea,Oceania,Oceania,2018,27.3,,
PRK,North Korea,Asia,Central and Southern Asia,2017,0.1,,
PRY,Paraguay,South America,Latin America and the Caribbean,2016,21.6,,
PSE,Palestine,Asia,Central and Southern Asia,2020,13.4,,
QAT,Qatar,Asia,Central and Southern Asia,2012,4.2,,
ROU,Romania,Europe,Europe and Northern America,2021,6.9,,
RUS,Russia,Asia,Central and Southern Asia,2017,6.2,,
RWA,Rwanda,Africa,Sub-Saharan Africa,2020,5.5,,
SDN,Sudan,Africa,Sub-Saharan Africa,2014,34.2,,
SEN,Senegal,Africa,Sub-Saharan Africa,2019,30.5,,
SGP,Singapore,Asia,Central and Southern Asia,2023,0.1,,
SLB,Solomon Islands,Oceania,Oceania,2015,21.3,,
SLE,Sierra Leone,Africa,Sub-Saharan Africa,2019,29.6,,
SLV,El Salvador,North America,Europe and Northern America,2021,19.7,,
SOM,Somalia,Africa,Sub-Saharan Africa,2006,45.3,,
SRB,Serbia,Europe,Europe and Northern America,2019,5.5,,
