code,country,continent,year,source,by15_pct,by18_pct,by15_n,by18_n
SOM,Somalia,Africa,2006.0,MICS 2006,8.0,45.0,411600.0,1900000.0
ZAF,South Africa,Africa,2016.0,DHS 2016,1.0,4.0,391100.0,1900000.0
SSD,South Sudan,Africa,2010.0,SHHS-2 2010,9.0,52.0,226300.0,1300000.0
LKA,Sri Lanka,Asia,2016.0,DHS 2016,1.0,10.0,124900.0,999900.0
PSE,Palestinian Territory,Asia,2020.0,MICS 2019-20,1.0,13.0,38100.0,338400.0
SDN,Sudan,Africa,2014.0,MICS 2014,12.0,34.0,1900000.0,5100000.0
SUR,Suriname,South America,2018.0,MICS 2018,9.0,36.0,17500.0,68000.0
SYR,Syria,Asia,2006.0,MICS 2006,3.0,13.0,328600.0,1400000.0
TJK,Tajikistan,Asia,2017.0,DHS 2017,0.0,9.0,14100.0,373600.0
THA,Thailand,Asia,2022.0,MICS 2022,6.0,17.0,1100000.0,6000000.0
TLS,Timor-Leste,Asia,2016.0,DHS 2016,3.0,15.0,17200.0,80900.0
TGO,Togo,Africa,2017.0,MICS 2017,6.0,25.0,162500.0,586100.0
TON,Tonga,Oceania,2019.0,MICS 2019,0.0,10.0,200.0,2100.0
TTO,Trinidad and Tobago,North America,2022.0,MICS 2022,1.0,4.0,9900.0,54400.0
TUN,Tunisia,Africa,2023.0,MICS 2023,0.0,2.0,58200.0,441200.0
TUR,Turkey,Europe,2018.0,DHS 2018,2.0,15.0,1700000.0,8000000.0
TKM,Turkmenistan,Asia,2019.0,MICS 2019,0.0,6.0,5700.0,125900.0
TCA,Turks and Caicos Islands,North America,2020.0,MICS 2019-20,0.0,23.0,200.0,1500.0
TUV,Tuvalu,Oceania,2020.0,MICS 2019-20,0.0,2.0,0.0,400.0
UGA,Uganda,Africa,2016.0,DHS 2016,7.0,34.0,1600000.0,5500000.0
UKR,Ukraine,Europe,2012.0,MICS 2012,0.0,9.0,92200.0,1700000.0
GBR,United Kingdom,Europe,2021.0,Office for National Statistics,,0.0,,
TZA,Tanzania,Africa,2022.0,DHS 2022,5.0,29.0,1400000.0,6400000.0
URY,Uruguay,South America,2013.0,MICS 2012-13,1.0,25.0,16700.0,161500.0
UZB,Uzbekistan,Asia,2022.0,MICS 2021-22,0.0,3.0,48500.0,1100000.0
VUT,Vanuatu,Oceania,2023.0,MICS 2023,5.0,21.0,5400.0,21700.0
VNM,Vietnam,Asia,2021.0,MICS 2020-21,1.0,15.0,383500.0,4600000.0
YEM,Yemen,Asia,2023.0,MICS 2022-23,7.0,30.0,1300000.0,3800000.0
ZMB,Zambia,Africa,2018.0,DHS 2018,5.0,29.0,478700.0,2100000.0
ZWE,Zimbabwe,Africa,2019.0,MICS 2019,5.0,34.0,285700.0,1700000.0
