iso_code,country,region,comp_prim_avg
GNB,Guinea-Bissau,Tombali,0.1269
KEN,Kenya,Central,0.8852
KEN,Kenya,Coast,0.5714
KEN,Kenya,Eastern,0.7073
KEN,Kenya,Nairobi,0.8637
KEN,Kenya,North Eastern,0.3968
KEN,Kenya,Nyanza,0.6724
KEN,Kenya,Rift Valley,0.6786
KEN,Kenya,Western,0.6549
LBR,Liberia,Monrovia,0.3596
LBR,Liberia,North Central,0.1535
LBR,Liberia,North Western,0.2446
LBR,Liberia,South Central,0.3483
LBR,Liberia,South Eastern A,0.1321
LBR,Liberia,South Eastern B,0.1739
LSO,Lesotho,Berea,0.7472
LSO,Lesotho,Butha Buthe,0.7061
LSO,Lesotho,Leribe,0.7001
LSO,Lesotho,Mafeteng,0.6242
LSO,Lesotho,Maseru,0.7192
LSO,Lesotho,Mohale's Hoek,0.5786
LSO,Lesotho,Mokhotlong,0.4461
LSO,Lesotho,Qacha's Nek,0.6041
LSO,Lesotho,Quthing,0.5308
LSO,Lesotho,Thaba Tseka,0.4753
MDG,Madagascar,Alaotra Mangoro,0.5669
MDG,Madagascar,Amoron I Mania,0.4314
MDG,Madagascar,Amoron'I Mania,0.5545
MDG,Madagascar,Amoron'i Mania,0.3928
MDG,Madagascar,Analamanga,0.7443
MDG,Madagascar,Analanjirofo,0.5755
MDG,Madagascar,Androy,0.2015
MDG,Madagascar,Anosy,0.2328
MDG,Madagascar,Antananarivo,0.6428
MDG,Madagascar,Antsiranana,0.2106
MDG,Madagascar,Atsimo Andrefana,0.3201
MDG,Madagascar,Atsimo Atsinanana,0.2691
MDG,Madagascar,Atsinanana,0.5049
MDG,Madagascar,Betsiboka,0.3641
MDG,Madagascar,Boeny,0.4267
MDG,Madagascar,Bongolava,0.4764
MDG,Madagascar,Diana,0.5596
MDG,Madagascar,Fianarantsoa,0.2585
MDG,Madagascar,Haute Matsiatra,0.4786
MDG,Madagascar,Ihorombe,0.2763
MDG,Madagascar,Itasy,0.4958
MDG,Madagascar,Mahajanga,0.1716
MDG,Madagascar,Melaky,0.2137
MDG,Madagascar,Menabe,0.2766
MDG,Madagascar,Sava,0.5612
MDG,Madagascar,Sofia,0.5101
MDG,Madagascar,Toamasina,0.2526
MDG,Madagascar,Toliary,0.1376
MDG,Madagascar,Vakinankaratra,0.5873
MDG,Madagascar,Vatovavy Fitovinany,0.3331
MLI,Mali,Bamako,0.6418
MLI,Mali,Gao,0.3873
MLI,Mali,Kayes,0.2449
MLI,Mali,Kidal,0.2311
MLI,Mali,Koulikoro,0.3736
MLI,Mali,Mopti,0.261
MLI,Mali,Segou,0.309
MLI,Mali,Sikasso,0.357
MLI,Mali,SÃÂ©gou,0.4355
MLI,Mali,Tombouctou,0.2515
MLI,Mali,Toumbouctou,0.3379
MOZ,Mozambique,Cabo Delgado,0.1334
MOZ,Mozambique,Gaza,0.2782
MOZ,Mozambique,Inhambane,0.3539
MOZ,Mozambique,Manica,0.3224
MOZ,Mozambique,Maputo Cidade,0.5073
MOZ,Mozambique,Maputo Provincia,0.4633
MOZ,Mozambique,Nampula,0.2354
MOZ,Mozambique,Niassa,0.2239
MOZ,Mozambique,Sofala,0.2551
MOZ,Mozambique,Tete,0.1715
MOZ,Mozambique,Zambezia,0.1447
MRT,Mauritania,Adrar,0.5901
MRT,Mauritania,Assaba,0.316
MRT,Mauritania,Brakna,0.391
MRT,Mauritania,Dakhlet Nouadhibou,0.754
MRT,Mauritania,Dakhlett Nouadibou,0.6558
MRT,Mauritania,Gorgol,0.316
MRT,Mauritania,Guidimagha,0.2895
MRT,Mauritania,Hodh Ech Charghi,0.376
MRT,Mauritania,Hodh Echargui,0.2027
MRT,Mauritania,Hodh El Gharbi,0.3296
