iso_code,country,year,region,comp_prim_v2_m,eduout_prim_m
GMB,Gambia,2000,Janjanbureh,,
GMB,Gambia,2000,Kanifing,,
GMB,Gambia,2000,Kerewan,,
GMB,Gambia,2000,Kuntaur,,
GMB,Gambia,2000,Mansakonko,,
GMB,Gambia,2006,Banjul,,
GMB,Gambia,2006,Basse,,
GMB,Gambia,2006,Brikama,,
GMB,Gambia,2006,Janjanbureh,,
GMB,Gambia,2006,Kanifing,,
GMB,Gambia,2006,Kerewan,,
GMB,Gambia,2006,Kuntaur,,
GMB,Gambia,2006,Mansakonko,,
GNB,Guinea-Bissau,2000,Bafata,,
GNB,Guinea-Bissau,2000,Biombo,,
GNB,Guinea-Bissau,2000,Bolama/Bijagos,,
GNB,Guinea-Bissau,2000,Cacheu,,
GNB,Guinea-Bissau,2000,Gabu,,
GNB,Guinea-Bissau,2000,Oio,,
GNB,Guinea-Bissau,2000,Quinara,,
GNB,Guinea-Bissau,2000,Sab,,
GNB,Guinea-Bissau,2000,Tombali,,
GNB,Guinea-Bissau,2006,Est (Bafata E Gabu),,
GNB,Guinea-Bissau,2006,"Nord (Biombo, Cacheu E Oio)",,
GNB,Guinea-Bissau,2006,Sab,,
GNB,Guinea-Bissau,2006,"Sud (Bolama, Quinara E Tombali)",,
GNB,Guinea-Bissau,2014,Bafata,0.103299997746944,0.521899998188019
GNB,Guinea-Bissau,2014,Biombo,0.255499988794327,0.289400011301041
GNB,Guinea-Bissau,2014,Bolama/Bijagos,0.310699999332428,0.226999998092651
GNB,Guinea-Bissau,2014,Cacheu,0.260600000619888,0.384700000286102
GNB,Guinea-Bissau,2014,Gabu,0.0878999978303909,0.538299977779388
GNB,Guinea-Bissau,2014,Oio,0.141699999570847,0.435000002384186
GNB,Guinea-Bissau,2014,Quinara,0.12389999628067,0.350100010633469
GNB,Guinea-Bissau,2014,Sab,0.530600011348724,0.247400000691414
GNB,Guinea-Bissau,2014,Tombali,0.126900002360344,0.36710000038147
GNQ,Equat. Guinea,2000,Bioko Norte,,
GNQ,Equat. Guinea,2000,Centro Sur,,
GNQ,Equat. Guinea,2000,Kie Ntem,,
GNQ,Equat. Guinea,2000,Litoral,,
GNQ,Equat. Guinea,2000,Wele Nzas,,
KEN,Kenya,2003,Central,0.798900008201599,0.116400003433228
KEN,Kenya,2003,Coast,0.41100001335144,0.360799998044968
KEN,Kenya,2003,Eastern,0.560800015926361,0.185000002384186
KEN,Kenya,2003,Nairobi,0.773800015449524,0.162100002169609
KEN,Kenya,2003,North Eastern,0.202000007033348,0.660000026226044
KEN,Kenya,2003,Nyanza,0.474500000476837,0.250699996948242
KEN,Kenya,2003,Rift Valley,0.544600009918213,0.31020000576973
KEN,Kenya,2003,Western,0.484600007534027,0.177499994635582
KEN,Kenya,2014,Central,0.971400022506714,0.0197999998927116
KEN,Kenya,2014,Coast,0.731899976730347,0.202099993824959
KEN,Kenya,2014,Eastern,0.853799998760223,0.062100000679493
KEN,Kenya,2014,Nairobi,0.953599989414215,0.0560999996960163
KEN,Kenya,2014,North Eastern,0.591600000858307,0.443500012159348
KEN,Kenya,2014,Nyanza,0.870299994945526,0.121299996972084
KEN,Kenya,2014,Rift Valley,0.812600016593933,0.125799998641014
KEN,Kenya,2014,Western,0.825299978256226,0.090599998831749
KEN,Kenya,2000,Central,,
KEN,Kenya,2000,Coast,,
KEN,Kenya,2000,Eastern,,
KEN,Kenya,2000,Nairobi,,
KEN,Kenya,2000,Nyanza,,
KEN,Kenya,2000,Rift Valley,,
KEN,Kenya,2000,Western,,
LBR,Liberia,2007,Monrovia,0.359600007534027,0.492000013589859
LBR,Liberia,2007,North Central,0.093800000846386,0.750400006771088
LBR,Liberia,2007,North Western,0.266499996185303,0.781799972057343
LBR,Liberia,2007,South Central,0.172099992632866,0.754599988460541
LBR,Liberia,2007,South Eastern A,0.0733999982476234,0.78600001335144
LBR,Liberia,2007,South Eastern B,0.086499996483326,0.676599979400635
LBR,Liberia,2013,North Central,0.179700002074242,0.670000016689301
LBR,Liberia,2013,North Western,0.228900000452995,0.652499973773956
LBR,Liberia,2013,South Central,0.445600003004074,0.491499990224838
LBR,Liberia,2013,South Eastern A,0.17679999768734,0.596800029277802
LBR,Liberia,2013,South Eastern B,0.246199995279312,0.57889997959137
LSO,Lesotho,2009,Berea,0.756900012493134,0.033500000834465
LSO,Lesotho,2009,Butha Buthe,0.681900024414062,0.0524999983608723
LSO,Lesotho,2009,Leribe,0.668900012969971,0.0340999998152256
LSO,Lesotho,2009,Mafeteng,0.625599980354309,0.0555999986827374
LSO,Lesotho,2009,Maseru,0.71340000629425,0.0427000001072884
LSO,Lesotho,2009,Mohale's Hoek,0.587599992752075,0.090999998152256
LSO,Lesotho,2009,Mokhotlong,0.451200008392334,0.101400002837181
LSO,Lesotho,2009,Qacha's Nek,0.574500024318695,0.068000003695488
LSO,Lesotho,2009,Quthing,0.533500015735626,0.0718000009655952
LSO,Lesotho,2009,Thaba Tseka,0.449000000953674,0.119999997317791
LSO,Lesotho,2014,Berea,0.737500011920929,0.0120000001043081
LSO,Lesotho,2014,Butha Buthe,0.730300009250641,0.0434999987483025
LSO,Lesotho,2014,Leribe,0.731299996376038,0.0177999995648861
LSO,Lesotho,2014,Mafeteng,0.62279999256134,0.0255999993532896
LSO,Lesotho,2014,Maseru,0.725000023841858,0.031700000166893
LSO,Lesotho,2014,Mohale's Hoek,0.569599986076355,0.0676999986171722
LSO,Lesotho,2014,Mokhotlong,0.4408999979496,0.0856000036001205
LSO,Lesotho,2014,Qacha's Nek,0.633700013160706,0.0260000005364418
LSO,Lesotho,2014,Quthing,0.52810001373291,0.0419999994337559
LSO,Lesotho,2014,Thaba Tseka,0.501500010490417,0.0829999968409538
MDG,Madagascar,2004,Antananarivo,0.481799989938736,0.136199995875359
MDG,Madagascar,2004,Antsiranana,0.210600003600121,0.223600000143051
MDG,Madagascar,2004,Fianarantsoa,0.258500009775162,0.204999998211861
MDG,Madagascar,2004,Mahajanga,0.171599999070168,0.37279999256134
MDG,Madagascar,2004,Toamasina,0.252600014209747,0.191200003027916
MDG,Madagascar,2004,Toliary,0.137600004673004,0.387600004673004
MDG,Madagascar,2009,Alaotra Mangoro,0.435099989175797,0.125100001692772
MDG,Madagascar,2009,Amoron'i Mania,0.392800003290176,0.179299995303154
MDG,Madagascar,2009,Analamanga,0.657899975776672,0.0693999975919724
MDG,Madagascar,2009,Analanjirofo,0.345400005578995,0.152799993753433
MDG,Madagascar,2009,Androy,0.0922000035643578,0.557299971580505
MDG,Madagascar,2009,Anosy,0.158899992704391,0.462099999189377
MDG,Madagascar,2009,Atsimo Andrefana,0.299800008535385,0.463600009679794
MDG,Madagascar,2009,Atsimo Atsinanana,0.125699996948242,0.344099998474121
MDG,Madagascar,2009,Atsinanana,0.480599999427795,0.091499999165535
MDG,Madagascar,2009,Betsiboka,0.222699999809265,0.349900007247925
MDG,Madagascar,2009,Boeny,0.425900012254715,0.240700006484985
MDG,Madagascar,2009,Bongolava,0.373499989509583,0.199799999594688
MDG,Madagascar,2009,Diana,0.339899986982346,0.174600005149841
MDG,Madagascar,2009,Haute Matsiatra,0.391000002622604,0.104400001466274
MDG,Madagascar,2009,Ihorombe,0.205099999904633,0.282000005245209
MDG,Madagascar,2009,Itasy,0.368600010871887,0.166199997067451
