Unnamed: 0;iso_code;country;year;region;compl_primary;out_primary
14437;CIV;Côte d'Ivoire;2016;Nord;0.374199986457825;0.428400009870529
14438;CIV;Côte d'Ivoire;2016;Nord Est;0.541499972343445;0.275000005960464
14439;CIV;Côte d'Ivoire;2016;Nord Ouest;0.316500008106232;0.367599993944168
14440;CIV;Côte d'Ivoire;2016;Ouest;0.49210000038147;0.264999985694885
14441;CIV;Côte d'Ivoire;2016;Sud (Sans Ville D'Abidjan);0.615899980068207;0.17229999601841
14442;CIV;Côte d'Ivoire;2016;Sud Ouest;0.498800009489059;0.266200006008148
14443;CIV;Côte d'Ivoire;2016;Ville D'Abidjan;0.672399997711182;0.104800000786781
14759;CMR;Cameroon;2004;Adamaoua;0.317400008440018;0.303400009870529
14760;CMR;Cameroon;2004;Centre;0.652800023555756;0.0494999997317791
14761;CMR;Cameroon;2004;Douala;0.826399981975555;0.0153000000864267
14762;CMR;Cameroon;2004;Est;0.530200004577637;0.0921000018715858
14763;CMR;Cameroon;2004;Extreme Nord;0.158899992704391;0.397100001573563
14764;CMR;Cameroon;2004;Littoral;0.710300028324127;0.025900000706315
14765;CMR;Cameroon;2004;Nord;0.188999995589256;0.433600008487701
14766;CMR;Cameroon;2004;Nord Ouest;0.790700018405914;0.0500000007450581
14767;CMR;Cameroon;2004;Ouest;0.655099987983704;0.0197000000625849
14768;CMR;Cameroon;2004;Sud;0.732200026512146;0.0285000000149012
14769;CMR;Cameroon;2004;Sud Ouest;0.848599970340729;0.0353999994695187
14770;CMR;Cameroon;2004;Yaounde;0.867900013923645;0.0286999996751547
15096;CMR;Cameroon;2011;Adamaoua;0.492599993944168;0.190699994564056
15097;CMR;Cameroon;2011;Centre;0.814899981021881;0.0168999992311001
15098;CMR;Cameroon;2011;Douala;0.926500022411346;0.0159000009298325
15099;CMR;Cameroon;2011;Est;0.672100007534027;0.102200001478195
15100;CMR;Cameroon;2011;Extreme Nord;0.24779999256134;0.404300004243851
15101;CMR;Cameroon;2011;Littoral;0.873600006103516;0.0087000001221895
15102;CMR;Cameroon;2011;Nord;0.352200001478195;0.281399995088577
15103;CMR;Cameroon;2011;Nord Ouest;0.866400003433228;0.034000001847744
15104;CMR;Cameroon;2011;Ouest;0.873000025749207;0.0148000000044703
15105;CMR;Cameroon;2011;Sud;0.868499994277954;0.0204000007361174
15106;CMR;Cameroon;2011;Sud Ouest;0.890900015830994;0.031199999153614
15107;CMR;Cameroon;2011;Yaounde;0.910300016403198;0.0154999997466803
15368;CMR;Cameroon;2000;Centre Avec Yaounde;;
15369;CMR;Cameroon;2000;Est;;
15370;CMR;Cameroon;2000;Extreme Nord;;
15371;CMR;Cameroon;2000;Littoral Avec Douala;;
15372;CMR;Cameroon;2000;Nord;;
15373;CMR;Cameroon;2000;Nord Ouest;;
15374;CMR;Cameroon;2000;Ouest;;
15375;CMR;Cameroon;2000;Sud;;
15376;CMR;Cameroon;2000;Sud Ouest;;
15511;CMR;Cameroon;2006;Adamaoua;;
15512;CMR;Cameroon;2006;Centre;;
15513;CMR;Cameroon;2006;Douala;;
15514;CMR;Cameroon;2006;Est;;
15515;CMR;Cameroon;2006;Extreme Nord;;
15516;CMR;Cameroon;2006;Littoral;;
15517;CMR;Cameroon;2006;Nord;;
15518;CMR;Cameroon;2006;Nord Ouest;;
15519;CMR;Cameroon;2006;Ouest;;
15520;CMR;Cameroon;2006;Sud;;
15521;CMR;Cameroon;2006;Sud Ouest;;
15522;CMR;Cameroon;2006;Yaounde;;
15813;CMR;Cameroon;2014;Adamaoua;0.524100005626678;0.19930000603199
15814;CMR;Cameroon;2014;Centre;0.869400024414062;0.0215000007301569
15815;CMR;Cameroon;2014;Douala;0.917999982833862;0.0329999998211861
15816;CMR;Cameroon;2014;Est;0.706200003623962;0.133200004696846
15817;CMR;Cameroon;2014;Extreme Nord;0.403499990701675;0.349500000476837
15818;CMR;Cameroon;2014;Littoral;0.941299974918365;0.0129000004380941
15819;CMR;Cameroon;2014;Nord;0.464199990034103;0.256099998950958
15820;CMR;Cameroon;2014;Nord Ouest;0.955099999904633;0.016499999910593
15821;CMR;Cameroon;2014;Ouest;0.905200004577637;0.0093999998643994
15822;CMR;Cameroon;2014;Sud;0.870500028133392;0.0181000009179115
15823;CMR;Cameroon;2014;Sud Ouest;0.955699980258942;0.0248000007122755
15824;CMR;Cameroon;2014;Yaounde;0.939199984073639;0.0038999998942017
16112;COD;D. R. Congo;2007;Bandundu;0.357800006866455;0.357100009918213
16113;COD;D. R. Congo;2007;Bas Congo;0.495299994945526;0.2483000010252
16114;COD;D. R. Congo;2007;Equateur;0.315200001001358;0.375200003385544
16115;COD;D. R. Congo;2007;Kasai Occidental;0.440299987792969;0.331800013780594
16116;COD;D. R. Congo;2007;Kasai Oriental;0.515500009059906;0.238100007176399
16117;COD;D. R. Congo;2007;Katanga;0.492300003767014;0.288800001144409
16118;COD;D. R. Congo;2007;Kinshasa;0.823800027370453;0.104999996721745
16119;COD;D. R. Congo;2007;Maniema;0.384499996900558;0.246299996972084
16120;COD;D. R. Congo;2007;Nord Kivu;0.364800006151199;0.341399997472763
16121;COD;D. R. Congo;2007;Province Orientale;0.331699997186661;0.339300006628036
16122;COD;D. R. Congo;2007;Sud Kivu;0.505100011825562;0.273099988698959
16413;COD;D. R. Congo;2013;Bandundu;0.724799990653992;0.10530000180006
16414;COD;D. R. Congo;2013;Bas Congo;0.606700003147125;0.111299999058247
16415;COD;D. R. Congo;2013;Equateur;0.591300010681152;0.140699997544289
16416;COD;D. R. Congo;2013;Kasai Occidental;0.666499972343445;0.130799993872643
16417;COD;D. R. Congo;2013;Kasai Oriental;0.712400019168854;0.0903000012040138
16418;COD;D. R. Congo;2013;Katanga;0.663500010967255;0.145699992775917
16419;COD;D. R. Congo;2013;Kinshasa;0.931699991226196;0.0780000016093254
16420;COD;D. R. Congo;2013;Maniema;0.755999982357025;0.0979999974370003
16421;COD;D. R. Congo;2013;Nord Kivu;0.668500006198883;0.195700004696846
16422;COD;D. R. Congo;2013;Province Orientale;0.578100025653839;0.153300002217293
16423;COD;D. R. Congo;2013;Sud Kivu;0.678600013256073;0.168699994683266
16682;COD;D. R. Congo;2001;Bandundu;;
16683;COD;D. R. Congo;2001;Bas Congo;;
16684;COD;D. R. Congo;2001;Equateur;;
16685;COD;D. R. Congo;2001;Kasai Occidental;;
16686;COD;D. R. Congo;2001;Kasai Oriental;;
16687;COD;D. R. Congo;2001;Katanga;;
16688;COD;D. R. Congo;2001;Kinshasa;;
16689;COD;D. R. Congo;2001;Maniema;;
16690;COD;D. R. Congo;2001;Nord Kivu;;
16691;COD;D. R. Congo;2001;Province Orientale;;
16692;COD;D. R. Congo;2001;Sud Kivu;;
16871;COD;D. R. Congo;2010;Bandundu;0.417499989271164;0.19709999859333
16872;COD;D. R. Congo;2010;Bas Congo;0.422500014305115;0.211300000548363
16873;COD;D. R. Congo;2010;Equateur;0.263300001621246;0.316300004720688
16874;COD;D. R. Congo;2010;Kasai Occidental;0.32490000128746;0.332399994134903
16875;COD;D. R. Congo;2010;Kasai Oriental;0.513800024986267;0.216700002551079
16876;COD;D. R. Congo;2010;Katanga;0.376199990510941;0.338699996471405
16877;COD;D. R. Congo;2010;Kinshasa;0.827199995517731;0.0967999994754791
16878;COD;D. R. Congo;2010;Maniema;0.490000009536743;0.214699998497963
16879;COD;D. R. Congo;2010;Nord Kivu;0.439300000667572;0.274399995803833
16880;COD;D. R. Congo;2010;Province Orientale;0.312200009822845;0.238299995660782
16881;COD;D. R. Congo;2010;Sud Kivu;0.456200003623962;0.272000014781952
17183;COG;Congo;2005;Brazzaville;0.809000015258789;0.0373999997973442
17184;COG;Congo;2005;Nord;0.538100004196167;0.106899999082088
17185;COG;Congo;2005;Pointe Noire;0.715399980545044;0.0377000011503696
17186;COG;Congo;2005;Sud;0.467900007963181;0.0901999995112419
17866;COM;Comoros;2012;Moheli;0.696399986743927;0.153600007295609
17867;COM;Comoros;2012;Ndzouani;0.738399982452393;0.212599992752075
17868;COM;Comoros;2012;Ngazidja;0.81139999628067;0.0632999986410141
17971;COM;Comoros;2000;Moheli;;
17972;COM;Comoros;2000;Ndzouani;;
17973;COM;Comoros;2000;Ngazidja;;
18272;DJI;Djibouti;2006;Arrondissement 1;;
18273;DJI;Djibouti;2006;Arrondissement 2;;
18274;DJI;Djibouti;2006;Arrondissement 3;;
18275;DJI;Djibouti;2006;Arrondissement 4;;
18276;DJI;Djibouti;2006;Arrondissement 5;;
18277;DJI;Djibouti;2006;Pas D'Arrondissement;;
19584;EGY;Egypt;2000;Frontier Governorates;0.809800028800964;0.126800000667572
19585;EGY;Egypt;2000;Lower Egypt Rural;0.801100015640259;0.0542000010609627
19586;EGY;Egypt;2000;Lower Egypt Urban;0.886900007724762;0.035300001502037
19587;EGY;Egypt;2000;Upper Egypt Rural;0.70389997959137;0.136700004339218
19588;EGY;Egypt;2000;Upper Egypt Urban;0.901000022888184;0.0581000000238419
19589;EGY;Egypt;2000;Urban Governorates;0.890500009059906;0.0564999990165234
19644;EGY;Egypt;2005;Frontier Governorates;0.80239999294281;0.0654999986290932
19645;EGY;Egypt;2005;Lower Egypt Rural;0.869899988174438;0.030799999833107
19646;EGY;Egypt;2005;Lower Egypt Urban;0.932900011539459;0.0181000009179115
19647;EGY;Egypt;2005;Upper Egypt Rural;0.736599981784821;0.0821999981999397
19648;EGY;Egypt;2005;Upper Egypt Urban;875;0.033500000834465
19649;EGY;Egypt;2005;Urban Governorates;0.882300019264221;0.0403000004589558
19808;EGY;Egypt;2014;Frontier Governorates;0.916100025177002;0.0476999990642071
19809;EGY;Egypt;2014;Lower Egypt Rural;0.923200011253357;0.0225000008940697
19810;EGY;Egypt;2014;Lower Egypt Urban;0.936100006103516;0.0247000008821487
19811;EGY;Egypt;2014;Upper Egypt Rural;0.870899975299835;0.0447999984025955
19812;EGY;Egypt;2014;Upper Egypt Urban;0.910700023174286;0.0416000001132488
19813;EGY;Egypt;2014;Urban Governorates;0.932900011539459;0.0273000001907349
19964;ETH;Ethiopia;2000;Addis Ababa;0.672699987888336;0.144899994134903
19965;ETH;Ethiopia;2000;Afar;0.184499993920326;0.78600001335144
19966;ETH;Ethiopia;2000;Amhara;0.133599996566772;0.653900027275085
19967;ETH;Ethiopia;2000;Benishangul Gumuz;0.11089999973774;0.564999997615814
19968;ETH;Ethiopia;2000;Dire Dawa;0.52700001001358;0.425399988889694
19969;ETH;Ethiopia;2000;Gambela;0.280499994754791;0.34349998831749
19970;ETH;Ethiopia;2000;Harari;0.443399995565414;0.306699991226196
19971;ETH;Ethiopia;2000;Oromia;0.154599994421005;0.66839998960495
