Entity,Code,Year,Women who were first married by age 18 (% of women ages 20-24),World region according to OWID
Nigeria,NGA,2003,43.3,Africa
Nigeria,NGA,2008,39.4,Africa
Nigeria,NGA,2013,42.8,Africa
Nigeria,NGA,2018,43.4,Africa
Nigeria,NGA,2021,30.3,Africa
North Korea,PRK,2017,0.1,Asia
North Macedonia,MKD,2019,7.5,Europe
Norway,NOR,2022,0,Europe
Oman,OMN,2014,4,Asia
Pakistan,PAK,1991,31.6,Asia
Pakistan,PAK,2007,24,Asia
Pakistan,PAK,2013,21,Asia
Pakistan,PAK,2018,18.3,Asia
Palestine,PSE,2020,13.4,Asia
Panama,PAN,2013,26.4,North America
Papua New Guinea,PNG,2018,27.3,Oceania
Paraguay,PRY,1990,24.2,South America
Paraguay,PRY,2016,21.6,South America
Peru,PER,1986,19.9,South America
Peru,PER,1992,17.7,South America
Peru,PER,1996,21.3,South America
Peru,PER,2000,18.7,South America
Peru,PER,2006,17.5,South America
Peru,PER,2008,17.5,South America
Peru,PER,2009,19,South America
Peru,PER,2010,20.1,South America
Peru,PER,2011,18.8,South America
Peru,PER,2012,19.1,South America
Peru,PER,2020,14.1,South America
Philippines,PHL,1993,14.2,Asia
Philippines,PHL,1998,14.6,Asia
Philippines,PHL,2003,14,Asia
Philippines,PHL,2008,14.2,Asia
Philippines,PHL,2013,15,Asia
Philippines,PHL,2017,16.5,Asia
Philippines,PHL,2022,9.4,Asia
Qatar,QAT,2012,4.2,Asia
Romania,ROU,2021,6.9,Europe
Russia,RUS,2017,6.2,Europe
Rwanda,RWA,1992,14.8,Africa
Rwanda,RWA,2000,19.5,Africa
Rwanda,RWA,2005,13.3,Africa
Rwanda,RWA,2010,8.1,Africa
Rwanda,RWA,2015,6.8,Africa
Rwanda,RWA,2020,5.5,Africa
Saint Lucia,LCA,2012,24,North America
Samoa,WSM,2020,7.4,Oceania
Sao Tome and Principe,STP,2009,34.4,Africa
Sao Tome and Principe,STP,2019,28,Africa
Senegal,SEN,1986,58.8,Africa
Senegal,SEN,1993,47.7,Africa
Senegal,SEN,1997,36.1,Africa
Senegal,SEN,2005,39,Africa
Senegal,SEN,2011,32.9,Africa
Senegal,SEN,2013,29.8,Africa
Senegal,SEN,2014,32.3,Africa
Senegal,SEN,2015,31,Africa
Senegal,SEN,2016,31.5,Africa
Senegal,SEN,2017,28.8,Africa
Senegal,SEN,2018,25.5,Africa
Senegal,SEN,2019,30.5,Africa
Serbia,SRB,2019,5.5,Europe
Sierra Leone,SLE,2008,47.9,Africa
Sierra Leone,SLE,2013,38.9,Africa
Sierra Leone,SLE,2019,29.6,Africa
Singapore,SGP,2023,0.1,Asia
Solomon Islands,SLB,2015,21.3,Oceania
Somalia,SOM,2006,45.3,Africa
South Africa,ZAF,1998,7.9,Africa
South Africa,ZAF,2016,3.6,Africa
South Sudan,SSD,2010,51.5,Africa
Sri Lanka,LKA,1987,13.7,Asia
Sri Lanka,LKA,2016,9.8,Asia
Sudan,SDN,1990,26.9,Africa
Sudan,SDN,2014,34.2,Africa
Suriname,SUR,2018,36,South America
Syria,SYR,2006,13.3,Asia
Tajikistan,TJK,2012,11.6,Asia
Tajikistan,TJK,2017,8.7,Asia
Tanzania,TZA,1992,36.6,Africa
Tanzania,TZA,1996,38.1,Africa
Tanzania,TZA,1999,39.3,Africa
Tanzania,TZA,2004,35.3,Africa
Tanzania,TZA,2005,41.1,Africa
Tanzania,TZA,2008,37.8,Africa
Tanzania,TZA,2010,36.9,Africa
Tanzania,TZA,2012,31.1,Africa
Tanzania,TZA,2016,30.5,Africa
Tanzania,TZA,2022,29.1,Africa
